"","avg.exp","pct.exp","features.plot","id","avg.exp.scaled"
"apolpp",286.85375493711,86.8971061093248,"apolpp","0",1.55818368720912
"GEFmeso",0.760360283116903,3.77813504823151,"GEFmeso","0",-0.494965770440708
"CG31313",2.57420862506245,3.05466237942122,"CG31313","0",-0.46119009756078
"mgl",0.581202751208947,1.56752411575563,"mgl","0",-0.383385856159855
"tyf",2.42335981076696,10.3295819935691,"tyf","0",0.785196320768391
"dnc",51.3296470736269,68.9710610932476,"dnc","0",1.35686065380834
"shi",2.37601001628516,11.0530546623794,"shi","0",-0.134611353833555
"Prat2",7.59390159190985,13.2234726688103,"Prat2","0",1.89696732891334
"flw",5.42695563678575,17.2427652733119,"flw","0",0.583242163257034
"Men",15.5461486487849,21.7041800643087,"Men","0",1.77304394062463
"Cpr49Ae",0.189101923105982,0.442122186495177,"Cpr49Ae","0",-0.447928887118977
"CG40006",2.83976644620648,10.8118971061093,"CG40006","0",1.29228189247059
"Cys",1.25415551454397,1.88906752411576,"Cys","0",-0.513477825491414
"CLIP-190",44.3528010503015,57.9180064308682,"CLIP-190","0",2.23865202414397
"DIP-alpha",51.6542200556056,31.9935691318328,"DIP-alpha","0",0.793594411804364
"CG5953",2.51866348841415,10.6109324758842,"CG5953","0",0.261103145816351
"dally",2.32018151325376,11.2942122186495,"dally","0",0.499933614487726
"CG1213",6.80050488869505,11.4147909967846,"CG1213","0",1.10915274473284
"Cip4",3.64211381738112,12.459807073955,"Cip4","0",-0.175783940342877
"RapGAP1",0.69930722596769,3.2556270096463,"RapGAP1","0",-0.480683765878384
"apolpp1",34.8947485892445,16.0312805474096,"apolpp","1",-0.644893345316649
"GEFmeso1",0.663868298142173,3.2258064516129,"GEFmeso","1",-0.541550530261536
"CG313131",119.851742989841,66.9599217986315,"CG31313","1",2.5
"mgl1",8.45083703290562,21.0166177908113,"mgl","1",0.0369795354927376
"tyf1",0.828075187291079,3.71456500488759,"tyf","1",-0.83772676819918
"dnc1",9.16370058000949,14.5650048875855,"dnc","1",-0.84716747391229
"shi1",1.00057742982779,4.78983382209189,"shi","1",-0.461942655180903
"Prat21",1.02441789593839,2.24828934506354,"Prat2","1",-0.503478121654578
